EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
005455-2020,1/8/2020 0:00:00,2537527.88430294,6997698.17258552,737,48192,4699,2210,266.89506566950894
098926-2020,6/4/2020 0:00:00,2537423.904195949,6998373.32182577,885,48438,4699,2210,262.2264704072141
099117-2020,6/4/2020 0:00:00,2537423.904195949,6998373.32182577,885,48438,4699,2210,262.2264704072141
098060-2020,6/2/2020 0:00:00,2537291.15052,6997983.72221,883,48290,4699,2210,250.33335587520892
075495-2020,4/21/2020 0:00:00,2537450.181702449,6997835.85866185,841,48219,4699,2210,259.524673239591
110087-2020,6/23/2020 0:00:00,2537423.904195949,6998373.32182577,904,48438,4699,2210,262.2264704072141
192276-2019,9/21/2019 0:00:00,2537334.04742028,6998159.39147936,628,48548,4699,2210,275.72104672378794
192494-2019,9/21/2019 0:00:00,2537291.15216486,6997983.72286743,628,48290,4699,2210,250.33335587520892
198635-2019,9/29/2019 0:00:00,2537291.15216486,6997983.72286743,636,48290,4699,2210,250.33335587520892
192495-2019,9/21/2019 0:00:00,2537291.15216486,6997983.72286743,628,48290,4699,2210,250.33335587520892
002175-2021,4/21/2020 0:00:00,2537557.56436169,6997653.46532585,841,48192,4699,2210,266.89506566950894
125196-2020,7/17/2020 0:00:00,2537423.904195949,6998373.32182577,928,48438,4699,2210,262.2264704072141
129681-2020,7/24/2020 0:00:00,2537423.9032117,6998373.32018535,935,48438,4699,2210,262.2264704072141
129668-2020,7/24/2020 0:00:00,2537291.15216486,6997983.72286743,935,48290,4699,2210,250.33335587520892
172157-2019,8/22/2019 0:00:00,2537423.904195949,6998373.32182577,598,48438,4699,2210,262.2264704072141
169668-2019,8/21/2019 0:00:00,2537291.15216486,6997983.72286743,597,48290,4699,2210,250.33335587520892
137672-2020,8/6/2020 0:00:00,2537350.44666569,6998141.696304769,948,48548,4699,2210,275.72104672378794
137675-2020,8/6/2020 0:00:00,2537350.44666569,6998141.696304769,948,48548,4699,2210,275.72104672378794
148073-2020,8/20/2020 0:00:00,2537423.904195949,6998373.32182577,962,48438,4699,2210,262.2264704072141
132626-2020,7/29/2020 0:00:00,2537291.15052444,6997983.72221127,940,48290,4699,2210,250.33335587520892
134249-2020,7/31/2020 0:00:00,2537291.15085253,6997983.72221127,942,48290,4699,2210,250.33335587520892
146013-2020,8/18/2020 0:00:00,2537291.15052444,6997983.72221127,960,48290,4699,2210,250.33335587520892
809978-2020,8/18/2020 0:00:00,2537291.15085253,6997983.72221127,960,48290,4699,2210,250.33335587520892
166864-2019,8/17/2019 0:00:00,2537423.904195949,6998373.32182577,593,48438,4699,2210,262.2264704072141
166967-2019,8/17/2019 0:00:00,2537423.904195949,6998373.32182577,593,48438,4699,2210,262.2264704072141
168692-2019,8/20/2019 0:00:00,2537423.904195949,6998373.32182577,596,48438,4699,2210,262.2264704072141
168890-2019,8/19/2019 0:00:00,2537423.904195949,6998373.32182577,595,48438,4699,2210,262.2264704072141
168693-2019,8/20/2019 0:00:00,2537423.904195949,6998373.32182577,596,48438,4699,2210,262.2264704072141
168678-2019,8/9/2019 0:00:00,2537450.74239686,6997800.34560952,585,48219,4699,2210,259.524673239591
090461-2020,5/21/2020 0:00:00,2537438.69812961,6997537.16995478,871,48192,4699,2210,266.89506566950894
149470-2020,8/23/2020 0:00:00,2537423.904195949,6998373.32182577,965,48438,4699,2210,262.2264704072141
153444-2020,8/29/2020 0:00:00,2537423.904195949,6998373.32182577,971,48438,4699,2210,262.2264704072141
158914-2020,9/6/2020 0:00:00,2537423.9028836,6998373.32018535,979,48438,4699,2210,262.2264704072141
158847-2020,9/6/2020 0:00:00,2537423.9028836,6998373.32018535,979,48438,4699,2210,262.2264704072141
156057-2020,9/2/2020 0:00:00,2537334.04742028,6998159.39147936,975,48548,4699,2210,275.72104672378794
154950-2020,8/31/2020 0:00:00,2537291.15052444,6997983.72221127,973,48290,4699,2210,250.33335587520892
150137-2020,8/24/2020 0:00:00,2537382.964317189,6998082.70429677,966,48548,4699,2210,275.72104672378794
174775-2019,8/27/2019 0:00:00,2537575.41340736,6997636.03622685,603,48192,4699,2210,266.89506566950894
164496-2020,9/15/2020 0:00:00,2537466.62294252,6997789.11203618,988,48219,4699,2210,259.524673239591
181538-2019,9/5/2019 0:00:00,2537691.7136997,6997576.14625476,612,48219,4699,2210,259.524673239591
172593-2019,8/25/2019 0:00:00,2537621.20760711,6997647.2261651,601,48219,4699,2210,259.524673239591
156592-2019,8/2/2019 0:00:00,2537630.25745778,6997638.16975278,578,48219,4699,2210,259.524673239591
164031-2019,8/8/2019 0:00:00,2537630.25745778,6997638.16975278,584,48219,4699,2210,259.524673239591
001408-2020,1/2/2020 0:00:00,2535147.37846,6998185.08538,731,48391,48371,2210,263.4490245563451
009567-2020,1/15/2020 0:00:00,2535147.37856528,6998185.0853256,744,48391,48371,2210,263.4490245563451
006082-2020,1/9/2020 0:00:00,2535147.37856528,6998185.0853256,738,48391,48371,2210,263.4490245563451
006086-2020,1/9/2020 0:00:00,2535147.37922144,6998185.08696602,738,48391,48371,2210,263.4490245563451
256647-2019,12/23/2019 0:00:00,2535147.37922144,6998185.08696602,721,48391,48371,2210,263.4490245563451
254169-2019,12/19/2019 0:00:00,2535147.37922144,6998185.08696602,717,48391,48371,2210,263.4490245563451
252257-2019,12/12/2019 0:00:00,2535147.37922144,6998185.08696602,710,48391,48371,2210,263.4490245563451
248740-2019,12/11/2019 0:00:00,2535147.37922144,6998185.08696602,709,48391,48371,2210,263.4490245563451
026899-2020,2/9/2020 0:00:00,2535147.37856528,6998185.0853256,769,48391,48371,2210,263.4490245563451
026056-2020,2/7/2020 0:00:00,2535147.37846,6998185.08538,767,48391,48371,2210,263.4490245563451
021192-2020,2/1/2020 0:00:00,2535147.37922144,6998185.08696602,761,48391,48371,2210,263.4490245563451
029086-2020,2/13/2020 0:00:00,2535147.37856528,6998185.0853256,773,48391,48371,2210,263.4490245563451
036018-2020,2/23/2020 0:00:00,2535147.37922144,6998185.08696602,783,48391,48371,2210,263.4490245563451
033444-2020,2/18/2020 0:00:00,2535147.37922144,6998185.08696602,778,48391,48371,2210,263.4490245563451
240482-2019,11/28/2019 0:00:00,2535147.37846,6998185.08538,696,48391,48371,2210,263.4490245563451
238197-2019,11/25/2019 0:00:00,2535147.37922144,6998185.08696602,693,48391,48371,2210,263.4490245563451
039886-2020,2/28/2020 0:00:00,2535147.37922144,6998185.08696602,788,48391,48371,2210,263.4490245563451
051754-2020,3/16/2020 0:00:00,2534889.65959252,6998068.90379943,805,48429,48371,2210,538.0437143727347
225820-2019,11/8/2019 0:00:00,2535147.37846,6998185.08538,676,48391,48371,2210,263.4490245563451
212035-2019,10/18/2019 0:00:00,2535147.37922144,6998185.08696602,655,48391,48371,2210,263.4490245563451
065556-2020,4/9/2020 0:00:00,2535147.37846,6998185.08538,829,48391,48371,2210,263.4490245563451
061734-2020,4/3/2020 0:00:00,2535147.37846,6998185.08538,823,48391,48371,2210,263.4490245563451
192830-2019,9/21/2019 0:00:00,2535147.37846,6998185.08538,628,48391,48371,2210,263.4490245563451
